date,region,product,revenue,quantity
2024-11-07,Central,Starter,243.45,75
2025-09-13,Central,Student,49.76,87
2024-08-06,International,Student,81.44,95
2024-06-22,West,Enterprise,2819.53,82
2025-09-26,Central,Pro,1245.79,97
2024-08-28,Central,Starter,412.95,19
2024-01-26,West,Starter,492.77,79
2024-03-15,South,Student,89.75,74
2024-07-18,South,Student,45.97,19
2025-11-02,West,Pro,1189.79,29
2024-06-29,International,Student,14.52,32
2024-05-04,South,Starter,410.64,86
2025-06-27,International,Free Trial,0.0,41
2025-03-29,International,Free Trial,0.0,55
2025-07-15,South,Starter,384.64,61
2025-04-05,Central,Starter,427.94,36
2025-06-17,South,Starter,173.57,10
2025-12-31,Central,Starter,172.27,41
2025-07-07,West,Starter,117.87,50
2025-12-11,East,Starter,78.9,53
2024-12-04,International,Student,47.42,27
2025-03-06,South,Free Trial,0.0,90
2024-01-21,International,Student,52.93,46
2024-11-01,South,Student,58.44,95
2025-07-13,International,Starter,269.7,35
2025-03-22,South,Pro,644.4,86
2025-11-26,South,Starter,428.23,17
2025-09-29,International,Pro,1369.7,76
2025-07-31,West,Pro,999.85,18
2025-04-17,East,Pro,464.22,42
2024-08-04,South,Enterprise,2018.75,49
2024-10-11,South,Enterprise,4257.1,61
2024-01-20,International,Pro,1499.87,45
2024-08-17,West,Pro,1155.93,32
2024-07-23,West,Free Trial,0.0,20
2024-09-01,East,Student,70.25,73
2024-08-11,South,Enterprise,3951.04,22
2025-09-12,International,Pro,1188.91,21
2024-11-14,West,Free Trial,0.0,4
2024-11-15,International,Student,45.7,92
2024-07-22,West,Free Trial,0.0,89
2025-10-04,East,Pro,1076.07,39
2025-12-01,International,Pro,1214.72,73
2024-02-12,Central,Free Trial,0.0,55
2025-11-08,Central,Pro,808.35,44
2024-01-13,South,Student,19.5,47
2025-10-12,South,Starter,245.97,94
2025-06-18,Central,Free Trial,0.0,69
2025-05-10,South,Student,84.32,76
2024-10-01,Central,Starter,423.83,12
2024-10-12,South,Starter,387.71,73
2025-09-16,South,Enterprise,629.15,42
2024-07-05,South,Starter,209.67,34
2024-12-14,Central,Free Trial,0.0,90
2024-10-09,International,Pro,823.28,25
2024-03-28,East,Student,53.97,98
2024-09-03,South,Student,50.34,3
2024-04-05,Central,Starter,231.98,32
2024-11-09,International,Enterprise,2629.67,68
2024-12-18,South,Free Trial,0.0,43
2024-12-26,South,Enterprise,1879.8,30
2024-05-03,East,Enterprise,1038.0,69
2025-12-07,East,Starter,147.37,62
2024-10-10,International,Free Trial,0.0,77
2024-10-16,West,Starter,183.31,47
2024-07-02,Central,Pro,1091.23,17
2024-10-07,West,Pro,874.7,90
2024-05-09,South,Pro,1321.81,74
2024-10-18,South,Student,49.64,24
2024-02-22,Central,Student,20.27,9
2025-02-14,South,Pro,907.83,88
2024-02-24,East,Starter,415.01,39
2024-03-28,East,Pro,881.3,54
2025-09-12,International,Free Trial,0.0,29
2025-06-19,South,Student,91.77,39
2025-08-25,South,Enterprise,3058.83,8
2025-09-16,West,Starter,331.48,34
2025-11-07,West,Starter,157.94,71
2024-03-17,East,Pro,671.92,89
2025-08-31,South,Enterprise,646.88,37
2025-12-24,Central,Student,16.41,30
2024-09-27,International,Starter,241.31,70
2024-08-18,East,Enterprise,4219.84,10
2024-03-02,East,Enterprise,3177.7,73
2024-10-22,South,Pro,756.18,39
2025-12-17,South,Enterprise,2752.12,64
2025-03-24,West,Free Trial,0.0,6
2025-03-18,Central,Free Trial,0.0,33
2024-01-27,West,Starter,482.86,74
2025-08-24,West,Enterprise,3093.11,98
2024-06-28,South,Free Trial,0.0,84
2025-03-28,Central,Starter,498.63,56
2025-10-12,South,Pro,758.01,53
2024-12-07,Central,Pro,1300.83,43
2025-02-25,South,Enterprise,3481.63,52
2025-07-17,West,Student,17.93,33
2024-11-27,West,Student,87.84,1
2025-11-04,International,Student,47.19,25
2025-06-14,Central,Free Trial,0.0,97
2025-05-25,South,Pro,384.98,71
2024-05-14,Central,Student,89.28,63
2024-05-04,West,Free Trial,0.0,31
2025-12-27,East,Enterprise,2978.78,71
2025-02-21,West,Starter,496.52,15
2025-04-17,West,Starter,274.27,92
2024-10-25,International,Enterprise,2369.71,62
2025-04-28,East,Student,59.61,50
2024-07-14,International,Free Trial,0.0,96
2024-05-19,West,Enterprise,3977.04,54
2024-12-14,International,Enterprise,4192.47,37
2024-11-01,International,Free Trial,0.0,85
2025-05-16,East,Student,58.47,45
2024-12-06,International,Free Trial,0.0,49
2025-04-11,Central,Starter,491.35,31
2025-08-08,South,Starter,435.21,53
2024-02-14,Central,Student,73.47,49
2025-01-30,East,Student,96.83,17
2025-05-29,International,Enterprise,4413.65,57
2024-04-12,International,Student,11.38,19
2025-02-23,East,Pro,757.29,34
2024-12-12,International,Student,68.49,43
2025-11-21,International,Student,95.87,81
2025-05-14,International,Pro,964.44,31
2025-10-08,Central,Starter,386.04,56
2024-04-10,West,Student,24.97,39
2024-01-30,West,Enterprise,4082.65,38
2025-01-02,Central,Student,23.1,68
2025-02-25,International,Starter,126.49,11
2025-09-16,South,Free Trial,0.0,88
2024-09-03,South,Free Trial,0.0,19
2024-08-25,South,Enterprise,2568.07,86
2024-01-10,South,Enterprise,3549.25,21
2024-03-16,South,Enterprise,4944.43,39
2025-10-16,South,Enterprise,2555.76,39
2024-07-22,South,Student,19.6,49
2025-08-08,Central,Free Trial,0.0,38
2025-12-17,Central,Pro,1469.12,85
2025-02-09,Central,Pro,892.3,88
2024-02-20,International,Student,84.96,37
2024-08-23,International,Enterprise,1485.52,25
2025-09-27,Central,Starter,332.71,81
2025-10-23,West,Enterprise,4048.75,5
2025-08-16,Central,Starter,90.56,38
2024-11-30,South,Starter,140.36,70
2025-01-09,International,Free Trial,0.0,35
2024-06-17,Central,Student,97.06,38
2024-12-12,West,Student,96.66,19
2024-08-19,South,Free Trial,0.0,47
2024-04-02,South,Pro,470.24,16
2025-04-10,Central,Enterprise,3130.52,82
2025-01-15,West,Starter,262.16,80
2025-07-28,Central,Free Trial,0.0,29
2025-10-25,West,Student,91.84,39
2025-10-26,South,Pro,295.69,5
2024-11-07,South,Pro,236.07,69
2024-05-18,South,Student,43.39,96
2025-12-14,International,Student,62.86,94
2024-06-07,South,Pro,1267.17,79
2025-02-21,Central,Pro,1066.39,28
2025-03-30,South,Starter,434.95,13
2025-12-03,Central,Free Trial,0.0,83
2025-01-02,West,Student,34.83,16
2025-04-10,West,Starter,338.77,77
2024-01-22,West,Enterprise,1596.06,17
2025-08-01,East,Pro,1261.74,71
2024-07-31,International,Starter,415.87,30
2024-12-02,East,Free Trial,0.0,1
2024-10-10,East,Starter,293.1,23
2024-04-22,West,Starter,56.69,31
2025-08-25,Central,Pro,343.94,7
2024-05-09,South,Free Trial,0.0,15
2024-03-06,South,Student,80.02,66
2025-08-30,West,Student,55.35,79
2024-02-14,International,Enterprise,2561.19,4
2024-03-03,South,Student,48.36,14
2025-05-17,South,Pro,1358.97,42
2025-09-14,East,Pro,276.67,80
2025-10-10,International,Free Trial,0.0,92
2024-11-28,South,Free Trial,0.0,68
2024-10-28,South,Free Trial,0.0,78
2025-03-16,West,Pro,3881.73,84
2025-07-18,East,Student,50.64,30
2025-02-27,Central,Student,45.89,94
2024-04-07,Central,Student,38.13,33
2025-01-18,East,Student,16.04,11
2024-04-05,South,Pro,1142.42,48
2024-05-13,International,Pro,921.05,72
2025-07-29,Central,Pro,675.13,86
2025-03-09,West,Enterprise,9605.55,46
2024-04-16,International,Free Trial,0.0,28
2024-06-07,South,Starter,431.27,45
2025-07-23,Central,Pro,1167.65,74
2024-08-19,South,Free Trial,0.0,99
2025-09-28,International,Free Trial,0.0,4
2025-09-15,Central,Pro,352.58,90
2024-11-12,Central,Enterprise,527.48,19
2025-08-02,South,Pro,298.62,82
2024-02-01,West,Free Trial,0.0,28
2025-01-20,South,Student,40.68,48
2024-11-15,Central,Free Trial,0.0,77
2024-03-27,West,Starter,120.83,80
2024-02-20,West,Enterprise,2494.01,55
2025-05-12,International,Student,47.28,28
2025-06-08,West,Enterprise,2434.61,37
2025-11-25,International,Student,57.42,40
2024-02-16,East,Student,98.6,8
2024-01-08,East,Enterprise,4753.96,99
2024-05-20,Central,Enterprise,1976.55,1
2025-05-24,South,Starter,108.13,69
2025-12-21,East,Free Trial,0.0,72
2025-11-15,Central,Pro,655.9,95
2024-02-13,South,Pro,743.66,10
2024-11-16,International,Student,61.61,91
2025-10-17,South,Enterprise,1018.28,3
2024-11-28,East,Free Trial,0.0,59
2025-12-07,Central,Pro,711.4,14
2024-09-06,South,Free Trial,0.0,52
2025-06-20,West,Student,88.35,96
2024-12-13,East,Enterprise,4006.03,10
2025-06-06,West,Free Trial,0.0,66
2024-07-17,Central,Enterprise,3773.21,83
2024-05-31,East,Pro,305.02,26
2024-06-26,International,Starter,392.1,84
2024-03-18,East,Student,51.76,73
2025-08-16,South,Free Trial,0.0,83
2025-10-12,International,Enterprise,4389.11,81
2024-11-19,East,Student,16.15,57
2025-10-08,Central,Enterprise,3161.39,46
2025-06-03,West,Enterprise,2577.84,5
2024-02-28,Central,Enterprise,845.29,12
2025-09-21,International,Free Trial,0.0,50
2025-04-18,International,Free Trial,0.0,95
2024-02-12,South,Free Trial,0.0,84
2024-07-11,Central,Free Trial,0.0,61
2025-05-28,East,Pro,730.73,44
2024-03-27,International,Starter,67.61,91
2025-03-24,South,Free Trial,0.0,67
2025-09-16,East,Enterprise,2177.83,37
2025-01-31,South,Enterprise,3555.04,7
2025-10-08,Central,Pro,561.57,72
2025-11-25,South,Enterprise,1633.98,85
2025-09-09,East,Enterprise,866.76,85
2024-05-24,Central,Enterprise,4854.63,90
2025-11-09,South,Starter,317.77,11
2024-11-13,International,Student,67.91,43
2024-05-10,International,Pro,1004.43,55
2025-06-04,Central,Pro,607.64,24
2024-08-07,Central,Student,27.28,18
2024-06-07,West,Enterprise,4299.93,13
2025-06-03,International,Free Trial,0.0,5
2025-11-08,Central,Free Trial,0.0,17
2025-09-03,South,Starter,123.01,89
2025-10-01,East,Student,13.93,47
2025-11-23,East,Student,64.95,97
2025-04-04,East,Free Trial,0.0,31
2024-11-12,South,Starter,215.53,74
2025-03-27,South,Enterprise,4001.56,65
2025-06-24,South,Starter,417.6,78
2024-05-21,Central,Pro,997.65,48
2025-07-21,West,Free Trial,0.0,16
2024-10-18,West,Starter,172.76,66
2024-05-30,South,Pro,1424.98,29
2025-04-06,Central,Pro,680.86,51
2025-05-29,Central,Starter,223.77,11
2025-01-18,East,Pro,546.16,13
2025-10-27,Central,Starter,111.92,37
2025-04-28,East,Student,50.37,1
2024-03-22,West,Enterprise,1470.45,20
2025-07-15,International,Free Trial,0.0,55
2024-04-23,Central,Starter,185.52,7
2024-09-01,South,Free Trial,0.0,59
2024-03-05,West,Student,63.71,3
2025-10-09,International,Free Trial,0.0,31
2024-05-27,Central,Student,10.14,46
2024-09-03,International,Student,26.86,86
2024-03-28,International,Enterprise,804.56,68
2025-07-11,International,Free Trial,0.0,71
2024-01-21,South,Student,13.92,50
2025-01-17,Central,Pro,599.93,9
2024-12-19,East,Pro,1180.1,95
2024-12-06,East,Pro,593.22,44
2025-10-20,East,Student,98.27,62
2025-10-08,East,Starter,78.4,100
2025-04-13,West,Enterprise,1407.16,26
2024-02-12,Central,Enterprise,2819.23,70
2025-04-29,Central,Pro,1154.61,25
2024-10-19,Central,Pro,1312.12,43
2024-10-06,West,Enterprise,2466.28,52
2025-03-26,South,Enterprise,4881.76,64
2025-12-09,South,Enterprise,4659.4,67
2024-09-30,West,Student,17.1,78
2024-07-03,International,Enterprise,1945.45,11
2024-12-01,Central,Enterprise,2506.62,92
2025-03-12,East,Student,41.64,6
2024-12-27,International,Student,34.71,8
2024-03-17,South,Enterprise,2808.89,96
2025-11-26,East,Pro,299.89,78
2025-11-25,South,Pro,276.72,31
2025-10-22,Central,Enterprise,2222.84,73
2024-02-03,International,Starter,355.58,48
2025-01-15,South,Pro,903.49,68
2025-01-10,South,Enterprise,3423.02,32
2024-04-26,West,Starter,274.57,50
2025-07-29,West,Enterprise,3987.34,91
2025-04-01,East,Free Trial,0.0,37
2025-12-11,South,Starter,105.19,10
2025-04-07,East,Student,99.75,88
2024-11-23,Central,Pro,870.0,38
2024-11-03,East,Starter,407.16,66
2024-08-17,West,Starter,406.43,31
2025-05-20,West,Enterprise,2993.1,48
2025-04-23,International,Starter,325.38,12
2024-03-08,Central,Student,99.96,93
2025-05-05,International,Student,79.22,74
2024-03-16,East,Enterprise,3390.52,58
2025-04-22,International,Enterprise,1077.51,100
2025-07-18,International,Starter,395.5,17
2025-03-19,International,Pro,1263.95,67
2024-06-05,Central,Starter,122.89,91
2024-08-18,Central,Free Trial,0.0,37
2024-03-21,Central,Starter,335.78,71
2024-10-08,East,Enterprise,3264.93,12
2025-05-29,East,Free Trial,0.0,75
2024-06-06,East,Free Trial,0.0,93
2025-09-11,Central,Free Trial,0.0,6
2024-01-30,West,Pro,1427.97,99
2025-08-13,Central,Starter,395.13,54
2025-09-24,West,Student,90.01,70
2024-10-23,Central,Student,32.04,88
2025-02-19,Central,Student,16.57,8
2024-06-10,South,Student,53.58,27
2024-12-14,International,Starter,190.66,92
2024-11-22,Central,Student,21.77,48
2025-06-11,International,Pro,546.76,60
2024-05-05,Central,Student,32.31,13
2024-02-21,Central,Student,87.77,54
2024-09-11,East,Enterprise,4701.88,93
2024-11-16,East,Starter,274.22,66
2025-04-23,South,Enterprise,2738.17,12
2025-02-06,International,Student,97.0,28
2025-08-20,Central,Pro,170.76,64
2025-09-03,South,Enterprise,2915.11,14
2025-03-17,East,Enterprise,3773.79,98
2025-02-16,Central,Pro,660.81,73
2025-07-29,East,Enterprise,2989.5,10
2025-01-30,International,Student,78.8,36
2025-09-30,International,Pro,280.13,13
2025-02-07,Central,Enterprise,3010.24,47
2024-05-27,East,Free Trial,0.0,66
2025-02-15,International,Pro,163.42,18
2025-12-31,Central,Student,56.74,20
2025-09-12,International,Starter,197.58,79
2024-11-22,East,Student,99.16,95
2024-11-02,International,Enterprise,2782.92,66
2025-06-29,South,Free Trial,0.0,39
2025-05-01,West,Enterprise,1990.58,15
2025-03-02,International,Enterprise,4085.4,93
2025-12-05,West,Free Trial,0.0,61
2024-09-28,International,Free Trial,0.0,30
2024-02-22,International,Student,25.35,81
2025-09-26,South,Starter,419.75,32
2024-02-02,International,Pro,367.1,57
2024-11-17,South,Starter,235.83,27
2025-02-24,International,Free Trial,0.0,61
2024-03-04,East,Free Trial,0.0,27
2025-07-28,Central,Student,57.29,41
2024-06-26,South,Free Trial,0.0,44
2025-07-13,Central,Enterprise,3245.34,25
2024-09-09,Central,Free Trial,0.0,39
2024-08-18,Central,Enterprise,3672.05,89
2025-12-22,South,Enterprise,2659.12,72
2024-10-07,Central,Pro,902.87,70
2025-01-23,South,Enterprise,4795.74,19
2024-10-24,West,Enterprise,4798.91,11
2024-12-20,South,Enterprise,3863.02,28
2024-07-25,International,Enterprise,4698.61,90
2024-10-05,East,Pro,961.95,76
2024-09-02,East,Pro,1037.77,68
2024-08-19,East,Pro,240.28,43
2025-04-28,West,Starter,52.33,71
2024-06-10,South,Student,52.97,26
2024-10-21,Central,Enterprise,3406.54,99
2024-04-01,International,Starter,290.82,93
2024-02-08,East,Student,89.4,23
2024-02-07,South,Student,26.77,96
2024-10-23,West,Pro,517.75,78
2024-04-19,Central,Enterprise,2544.57,83
2025-07-10,International,Student,90.03,18
2025-05-31,South,Enterprise,1367.65,15
2024-12-04,East,Student,68.35,92
2024-07-09,West,Enterprise,4058.45,73
2025-11-21,East,Starter,324.93,82
2025-02-19,South,Free Trial,0.0,42
2024-03-29,South,Pro,358.69,18
2025-05-03,Central,Starter,53.07,50
2024-08-29,South,Enterprise,4793.16,39
2025-08-19,International,Pro,466.17,47
2025-12-10,East,Pro,1034.9,60
2024-11-10,East,Student,71.75,91
2024-11-14,West,Enterprise,2153.95,29
2024-08-12,East,Student,23.79,96
2025-09-12,Central,Student,73.17,61
2025-07-04,East,Starter,356.15,77
2024-03-24,International,Student,57.54,47
2024-03-20,International,Pro,186.46,71
2025-06-01,East,Free Trial,0.0,69
2024-06-02,East,Enterprise,4345.19,57
2024-04-29,East,Free Trial,0.0,63
2024-04-03,International,Student,82.78,59
2024-05-15,International,Student,51.11,8
2025-07-26,South,Enterprise,3754.76,51
2024-09-17,West,Starter,310.24,6
2025-03-09,Central,Pro,857.63,8
2024-03-11,South,Pro,501.93,24
2024-05-18,South,Enterprise,4967.85,49
2025-04-04,South,Student,17.22,85
2025-07-06,East,Enterprise,1033.85,69
2025-02-06,International,Starter,377.54,29
2024-01-04,West,Enterprise,2583.52,93
2025-07-11,South,Free Trial,0.0,49
2024-08-23,East,Student,41.15,36
2024-07-12,West,Pro,1233.27,54
2025-09-21,West,Starter,142.74,13
2025-08-31,West,Student,63.8,91
2024-02-19,East,Pro,663.17,30
2025-07-06,East,Pro,296.19,38
2024-08-27,International,Enterprise,3098.64,99
2025-11-19,Central,Starter,185.79,19
2025-11-07,International,Starter,236.1,36
2024-03-03,International,Free Trial,0.0,95
2024-06-28,South,Free Trial,0.0,64
2024-02-18,Central,Student,80.72,41
2025-12-14,South,Student,23.43,49
2024-07-07,International,Student,31.69,29
2024-11-03,East,Student,92.33,72
2025-02-26,South,Free Trial,0.0,68
2024-05-17,South,Starter,164.75,43
2025-10-24,West,Student,86.24,12
2025-07-02,East,Pro,475.85,87
2025-09-11,International,Pro,1323.07,25
2025-08-24,International,Starter,265.73,43
2024-11-06,West,Starter,471.72,95
2024-04-30,South,Starter,363.03,91
2024-07-28,South,Starter,298.44,100
2024-10-16,South,Student,58.03,46
2024-11-11,Central,Enterprise,2807.67,64
2025-04-22,West,Student,78.55,41
2024-07-27,Central,Enterprise,2362.69,73
2024-08-14,East,Pro,465.08,75
2025-08-16,South,Enterprise,1185.85,43
2024-08-23,South,Free Trial,0.0,32
2025-05-26,International,Enterprise,1657.97,63
2025-10-19,South,Student,25.14,46
2024-06-22,East,Free Trial,0.0,63
2024-07-07,International,Pro,833.52,10
2025-11-15,West,Pro,677.35,81
2024-08-24,West,Starter,54.11,65
2025-04-11,Central,Pro,964.97,86
2025-09-23,South,Student,11.42,69
2025-07-18,South,Pro,123.42,93
2024-10-08,International,Enterprise,577.14,90
2025-11-21,South,Starter,98.16,13
2025-06-20,East,Starter,136.37,68
2024-09-15,Central,Enterprise,4077.21,11
2025-01-17,South,Student,60.85,90
2024-08-19,Central,Pro,1015.23,84
2024-02-02,West,Student,44.13,71
2025-05-02,West,Pro,1083.98,11
2025-05-26,South,Enterprise,3046.35,13
2025-06-24,West,Starter,145.14,89
2025-08-03,South,Enterprise,709.53,10
2025-12-01,Central,Free Trial,0.0,73
2025-11-04,West,Starter,467.94,41
2024-01-17,East,Free Trial,0.0,19
2025-12-30,South,Pro,518.99,73
2024-09-03,International,Student,70.93,70
2024-12-05,South,Starter,405.72,89
2024-03-21,International,Enterprise,741.63,56
2024-08-25,West,Enterprise,3223.26,79
2025-09-01,South,Enterprise,633.32,35
2025-04-06,South,Starter,210.12,49
2025-03-18,East,Free Trial,0.0,85
2025-01-24,West,Free Trial,0.0,38
2024-09-09,West,Pro,475.16,49
2025-12-29,East,Student,38.5,14
2024-04-03,West,Enterprise,2501.31,98
2024-10-03,West,Starter,89.28,56
2025-04-04,International,Free Trial,0.0,66
2025-02-21,West,Pro,225.47,71
2024-04-05,International,Free Trial,0.0,42
2025-01-29,West,Enterprise,2362.15,100
2024-03-27,International,Starter,307.38,22
2025-12-02,South,Starter,112.48,39
2024-10-01,South,Starter,78.47,56
2024-10-09,South,Enterprise,2679.04,10
2025-01-04,Central,Starter,374.4,64
2025-08-31,International,Starter,256.04,18
2024-11-07,West,Student,39.9,80
2025-01-24,Central,Student,40.13,84
2025-08-31,East,Enterprise,1942.99,89
2024-07-24,South,Enterprise,1299.37,51
2024-11-22,Central,Student,97.1,32
2024-11-29,South,Enterprise,4174.23,51
2025-01-08,West,Free Trial,0.0,26
2025-08-29,International,Starter,356.77,71
2024-01-28,South,Starter,247.3,38
2025-12-10,West,Student,70.57,18
2025-10-10,Central,Starter,163.71,20
2025-03-09,South,Pro,728.69,77
2025-05-05,International,Student,58.09,89
2025-03-04,International,Pro,1207.01,47
2025-12-19,International,Free Trial,0.0,82
2024-03-28,West,Starter,345.92,46
2024-06-19,International,Pro,888.51,83
2025-11-24,South,Enterprise,4845.73,56
2024-04-18,West,Pro,462.23,66
2025-06-15,International,Free Trial,0.0,89
2025-08-12,East,Student,43.67,60
2025-11-26,International,Free Trial,0.0,20
2024-12-19,West,Student,19.41,54
2024-03-28,West,Starter,206.75,44
2025-04-11,East,Free Trial,0.0,62
2024-12-22,South,Pro,713.43,90
2025-04-08,Central,Pro,520.37,91
2024-04-27,West,Enterprise,3415.86,87
2024-06-17,East,Free Trial,0.0,23
2025-07-19,East,Enterprise,3019.32,60
2024-08-25,South,Starter,133.87,85
2025-03-18,South,Pro,1132.34,26
2025-04-05,International,Student,45.0,91
2024-08-07,East,Enterprise,3885.46,9
2025-08-14,West,Free Trial,0.0,24
2025-01-09,Central,Starter,255.9,34
2025-11-17,South,Free Trial,0.0,82
2024-11-16,International,Student,65.02,76
2024-04-26,Central,Enterprise,4304.83,80
2024-06-25,Central,Free Trial,0.0,76
2024-03-27,East,Enterprise,1030.38,40
2024-04-29,East,Enterprise,3620.46,66
2025-02-01,South,Free Trial,0.0,18
2025-08-11,South,Student,26.72,82
2025-07-04,East,Free Trial,0.0,22
2025-05-16,Central,Starter,134.19,58
2025-09-26,West,Enterprise,4783.29,63
2024-05-19,East,Student,96.74,65
2025-10-30,South,Student,71.62,54
2025-12-28,South,Student,25.05,73
2024-02-01,East,Enterprise,647.13,29
2025-07-04,Central,Starter,401.33,73
2025-05-22,International,Free Trial,0.0,15
2025-08-09,West,Enterprise,3988.01,47
2025-07-09,West,Student,59.17,55
2024-04-14,East,Enterprise,4436.64,5
2025-04-05,Central,Enterprise,4379.9,12
2025-03-25,West,Starter,433.35,95
2025-08-25,Central,Free Trial,0.0,81
2025-03-14,East,Free Trial,0.0,18
2024-07-30,East,Pro,898.1,69
2024-10-14,International,Free Trial,0.0,22
2024-11-27,Central,Enterprise,3077.31,66
2025-11-26,West,Starter,483.25,53
2024-03-01,Central,Starter,365.64,17
2024-09-12,East,Enterprise,4228.17,98
2025-11-23,South,Student,22.8,81
2024-10-02,South,Student,50.68,82
2024-04-05,South,Free Trial,0.0,96
2024-10-11,Central,Student,95.52,42
2025-08-18,West,Pro,1123.3,59
2025-10-12,Central,Pro,1213.95,51
2024-08-11,South,Starter,272.62,42
2024-10-17,Central,Free Trial,0.0,74
2024-05-13,International,Student,80.95,88
2024-02-19,West,Pro,976.65,59
2024-01-17,West,Starter,248.58,1
2025-03-14,East,Starter,446.97,39
2024-06-11,Central,Pro,1016.42,33
2024-03-25,Central,Starter,73.3,81
2024-11-08,East,Student,68.99,91
2024-04-07,West,Starter,264.56,17
2025-08-30,East,Free Trial,0.0,88
2025-03-31,West,Pro,3221.52,16
2025-03-08,East,Student,16.37,50
2024-04-01,West,Pro,538.69,39
2024-05-20,South,Starter,338.71,87
2024-05-26,West,Free Trial,0.0,73
2024-01-09,International,Starter,248.04,93
2024-08-06,East,Student,65.45,57
2024-08-10,West,Pro,296.02,16
2025-08-26,South,Enterprise,4834.62,41
2024-05-23,East,Enterprise,3400.79,32
2025-07-20,International,Free Trial,0.0,93
2025-09-14,Central,Pro,1287.05,85
2024-11-04,East,Free Trial,0.0,78
